number,filename,url,status,content_type,content_length,final_url,redirect_chain,server,via,response_bytes,elapsed_ms,classification,valid_m3u8,channel_name,channel_names,playlist_type,is_master,is_media,bandwidths,resolutions,codecs,frame_rates,audio_groups,video_groups,subtitles,target_duration,media_sequence,segment_count,uris,error
11,11.m3u8,https://streaming.televizor-24-tochka.ru/live/11.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/11.m3u8,https://streaming.televizor-24-tochka.ru/live/11.m3u8,nginx,,902,1519.03,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,11-req_offset_28000000-req_window_0-3k_v5.m3u8; 11-req_offset_28000000-req_window_0-3k_v5.m3u8; 11-req_offset_28000000-req_window_0-1k_v5.m3u8; 11-req_offset_28000000-req_window_0-1k_v5.m3u8; 11-req_offset_28000000-req_window_0-2k_v5.m3u8; 11-req_offset_28000000-req_window_0-2k_v5.m3u8,
12,12.m3u8,https://streaming.televizor-24-tochka.ru/live/12.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/12.m3u8,https://streaming.televizor-24-tochka.ru/live/12.m3u8,nginx,,902,1413.83,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,12-req_offset_28000000-req_window_0-3k_v5.m3u8; 12-req_offset_28000000-req_window_0-3k_v5.m3u8; 12-req_offset_28000000-req_window_0-1k_v5.m3u8; 12-req_offset_28000000-req_window_0-1k_v5.m3u8; 12-req_offset_28000000-req_window_0-2k_v5.m3u8; 12-req_offset_28000000-req_window_0-2k_v5.m3u8,
13,13.m3u8,https://streaming.televizor-24-tochka.ru/live/13.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/13.m3u8,https://streaming.televizor-24-tochka.ru/live/13.m3u8,nginx,,902,1285.69,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,13-req_offset_28000000-req_window_0-3k_v5.m3u8; 13-req_offset_28000000-req_window_0-3k_v5.m3u8; 13-req_offset_28000000-req_window_0-1k_v5.m3u8; 13-req_offset_28000000-req_window_0-1k_v5.m3u8; 13-req_offset_28000000-req_window_0-2k_v5.m3u8; 13-req_offset_28000000-req_window_0-2k_v5.m3u8,
14,14.m3u8,https://streaming.televizor-24-tochka.ru/live/14.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/14.m3u8,https://streaming.televizor-24-tochka.ru/live/14.m3u8,nginx,,902,1264.55,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,14-req_offset_28000000-req_window_0-3k_v5.m3u8; 14-req_offset_28000000-req_window_0-3k_v5.m3u8; 14-req_offset_28000000-req_window_0-1k_v5.m3u8; 14-req_offset_28000000-req_window_0-1k_v5.m3u8; 14-req_offset_28000000-req_window_0-2k_v5.m3u8; 14-req_offset_28000000-req_window_0-2k_v5.m3u8,
15,15.m3u8,https://streaming.televizor-24-tochka.ru/live/15.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/15.m3u8,https://streaming.televizor-24-tochka.ru/live/15.m3u8,nginx,,902,505.68,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,15-req_offset_28000000-req_window_0-3k_v5.m3u8; 15-req_offset_28000000-req_window_0-3k_v5.m3u8; 15-req_offset_28000000-req_window_0-1k_v5.m3u8; 15-req_offset_28000000-req_window_0-1k_v5.m3u8; 15-req_offset_28000000-req_window_0-2k_v5.m3u8; 15-req_offset_28000000-req_window_0-2k_v5.m3u8,
16,16.m3u8,https://streaming.televizor-24-tochka.ru/live/16.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/16.m3u8,https://streaming.televizor-24-tochka.ru/live/16.m3u8,nginx,,902,502.85,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,16-req_offset_28000000-req_window_0-3k_v5.m3u8; 16-req_offset_28000000-req_window_0-3k_v5.m3u8; 16-req_offset_28000000-req_window_0-1k_v5.m3u8; 16-req_offset_28000000-req_window_0-1k_v5.m3u8; 16-req_offset_28000000-req_window_0-2k_v5.m3u8; 16-req_offset_28000000-req_window_0-2k_v5.m3u8,
17,17.m3u8,https://streaming.televizor-24-tochka.ru/live/17.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/17.m3u8,https://streaming.televizor-24-tochka.ru/live/17.m3u8,nginx,,902,1258.84,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,17-req_offset_28000000-req_window_0-3k_v5.m3u8; 17-req_offset_28000000-req_window_0-3k_v5.m3u8; 17-req_offset_28000000-req_window_0-1k_v5.m3u8; 17-req_offset_28000000-req_window_0-1k_v5.m3u8; 17-req_offset_28000000-req_window_0-2k_v5.m3u8; 17-req_offset_28000000-req_window_0-2k_v5.m3u8,
18,18.m3u8,https://streaming.televizor-24-tochka.ru/live/18.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/18.m3u8,https://streaming.televizor-24-tochka.ru/live/18.m3u8,nginx,,902,692.1,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,18-req_offset_28000000-req_window_0-3k_v5.m3u8; 18-req_offset_28000000-req_window_0-3k_v5.m3u8; 18-req_offset_28000000-req_window_0-1k_v5.m3u8; 18-req_offset_28000000-req_window_0-1k_v5.m3u8; 18-req_offset_28000000-req_window_0-2k_v5.m3u8; 18-req_offset_28000000-req_window_0-2k_v5.m3u8,
19,19.m3u8,https://streaming.televizor-24-tochka.ru/live/19.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/19.m3u8,https://streaming.televizor-24-tochka.ru/live/19.m3u8,nginx,,902,503.9,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,19-req_offset_28000000-req_window_0-3k_v5.m3u8; 19-req_offset_28000000-req_window_0-3k_v5.m3u8; 19-req_offset_28000000-req_window_0-1k_v5.m3u8; 19-req_offset_28000000-req_window_0-1k_v5.m3u8; 19-req_offset_28000000-req_window_0-2k_v5.m3u8; 19-req_offset_28000000-req_window_0-2k_v5.m3u8,
20,20.m3u8,https://streaming.televizor-24-tochka.ru/live/20.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/20.m3u8,https://streaming.televizor-24-tochka.ru/live/20.m3u8,nginx,,902,512.07,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,20-req_offset_28000000-req_window_0-3k_v5.m3u8; 20-req_offset_28000000-req_window_0-3k_v5.m3u8; 20-req_offset_28000000-req_window_0-1k_v5.m3u8; 20-req_offset_28000000-req_window_0-1k_v5.m3u8; 20-req_offset_28000000-req_window_0-2k_v5.m3u8; 20-req_offset_28000000-req_window_0-2k_v5.m3u8,
