=== ЛОГ-ОТЧЕТ СКАЛА / ДРЕГ [2026-09-01_06-33-46] ===
[06:33:49.216] [ДРЕГ-ЭТАП 3] ID 74: проверка потока
[06:33:49.230] [ДРЕГ-ЭТАП 3] ID 75: проверка потока
[06:33:49.281] [ДРЕГ-ЭТАП 3] ID 76: проверка потока
[06:33:49.283] [ДРЕГ-ЭТАП 3] ID 77: проверка потока
[06:33:49.415] [ДРЕГ-ЭТАП 3] ID 78: проверка потока
[06:33:49.457] [ДРЕГ-ЭТАП 3] ID 79: проверка потока
[06:33:49.459] [ДРЕГ-ЭТАП 3] ID 80: проверка потока
[06:33:49.463] [ДРЕГ-ЭТАП 3] ID 81: проверка потока
[06:33:49.614] [ДРЕГ-ЭТАП 3] ID 82: проверка потока
[06:33:49.627] [ДРЕГ-ЭТАП 3] ID 83: проверка потока
[06:33:49.640] [ДРЕГ-ЭТАП 3] ID 84: проверка потока
[06:33:49.784] [ДРЕГ-ЭТАП 3] ID 85: проверка потока
[06:33:49.803] [ДРЕГ-ЭТАП 3] ID 86: проверка потока
[06:33:49.806] [ДРЕГ-ЭТАП 3] ID 87: проверка потока
[06:33:49.988] [ДРЕГ-ЭТАП 3] ID 88: проверка потока
[06:33:49.994] [ДРЕГ-ЭТАП 3] ID 89: проверка потока
[06:33:50.008] [ДРЕГ-ЭТАП 3] ID 90: проверка потока
[06:33:50.011] [ДРЕГ-ЭТАП 3] ID 91: проверка потока
[06:33:50.164] [ДРЕГ-ЭТАП 3] ID 92: проверка потока
[06:33:50.165] [ДРЕГ-ЭТАП 3] ID 93: проверка потока
[06:33:50.207] [ДРЕГ-ЭТАП 3] ID 94: проверка потока
[06:33:50.209] [ДРЕГ-ЭТАП 3] ID 95: проверка потока
[06:33:50.384] [ДРЕГ-ЭТАП 3] ID 96: проверка потока
[06:33:50.391] [ДРЕГ-ЭТАП 3] ID 97: проверка потока
[06:33:50.408] [ДРЕГ-ЭТАП 3] ID 98: проверка потока
[06:33:50.438] [ДРЕГ-ЭТАП 3] ID 99: проверка потока
[06:33:50.586] [ДРЕГ-ЭТАП 3] ID 100: проверка потока
[06:33:50.589] [ДРЕГ-ЭТАП 3] ID 101: проверка потока
[06:33:50.597] [ДРЕГ-ЭТАП 3] ID 102: проверка потока
[06:33:50.614] [ДРЕГ-ЭТАП 3] ID 103: проверка потока
[06:33:50.683] [ДРЕГ-ЭТАП 3] ID 104: проверка потока
[06:33:50.713] [ДРЕГ-ЭТАП 3] ID 105: проверка потока
[06:33:50.750] [ДРЕГ-ЭТАП 3] ID 106: проверка потока
[06:33:50.753] [ДРЕГ-ЭТАП 3] ID 107: проверка потока
[06:33:50.763] [ДРЕГ-ЭТАП 3] ID 108: проверка потока
[06:33:50.768] [ДРЕГ-ЭТАП 3] ID 109: проверка потока
[06:33:50.848] [ДРЕГ-ЭТАП 3] ID 110: проверка потока
[06:33:50.894] [ДРЕГ-ЭТАП 3] ID 111: проверка потока
[06:33:50.897] [ДРЕГ-ЭТАП 3] ID 112: проверка потока
[06:33:50.963] [ДРЕГ-ЭТАП 3] ID 113: проверка потока
[06:33:50.981] [ДРЕГ-ЭТАП 3] ID 114: проверка потока
[06:33:50.995] [ДРЕГ-ЭТАП 3] ID 115: проверка потока
[06:33:51.007] [ДРЕГ-ЭТАП 3] ID 116: проверка потока
[06:33:51.110] [ДРЕГ-ЭТАП 3] ID 117: проверка потока
[06:33:51.128] [ДРЕГ-ЭТАП 3] ID 118: проверка потока
[06:33:51.130] [ДРЕГ-ЭТАП 3] ID 119: проверка потока
[06:33:51.179] [ДРЕГ-ЭТАП 3] ID 120: проверка потока
[06:33:51.210] [ДРЕГ-ЭТАП 3] ID 121: проверка потока
[06:33:51.266] [ДРЕГ-ЭТАП 3] ID 122: проверка потока
[06:33:51.308] [ДРЕГ-ЭТАП 3] ID 123: проверка потока
[06:33:51.325] [ДРЕГ-ЭТАП 3] ID 124: проверка потока
[06:33:51.330] [ДРЕГ-ЭТАП 3] ID 125: проверка потока
[06:33:51.397] [ДРЕГ-ЭТАП 3] ID 126: проверка потока
[06:33:51.409] [ДРЕГ-ЭТАП 3] ID 127: проверка потока
[06:33:51.460] [ДРЕГ-ЭТАП 3] ID 128: проверка потока
[06:33:51.472] [ДРЕГ-ЭТАП 3] ID 129: проверка потока
[06:33:51.481] [ДРЕГ-ЭТАП 3] ID 130: проверка потока
[06:33:51.489] [ДРЕГ-ЭТАП 3] ID 131: проверка потока
[06:33:51.546] [ДРЕГ-ЭТАП 3] ID 132: проверка потока
[06:33:51.589] [ДРЕГ-ЭТАП 3] ID 133: проверка потока
[06:33:51.623] [ДРЕГ-ЭТАП 3] ID 134: проверка потока
[06:33:51.646] [ДРЕГ-ЭТАП 3] ID 135: проверка потока
[06:33:51.655] [ДРЕГ-ЭТАП 3] ID 136: проверка потока
[06:33:51.667] [ДРЕГ-ЭТАП 3] ID 137: проверка потока
[06:33:51.747] [ДРЕГ-ЭТАП 3] ID 138: проверка потока
[06:33:51.764] [ДРЕГ-ЭТАП 3] ID 139: проверка потока
[06:33:51.773] [ДРЕГ-ЭТАП 3] ID 140: проверка потока
[06:33:51.783] [ДРЕГ-ЭТАП 3] ID 141: проверка потока
[06:33:51.797] [ДРЕГ-ЭТАП 3] ID 142: проверка потока
[06:33:51.813] [ДРЕГ-ЭТАП 3] ID 143: проверка потока
[06:33:51.846] [ДРЕГ-ЭТАП 3] ID 144: проверка потока
[06:33:51.891] [ДРЕГ-ЭТАП 3] ID 145: проверка потока
[06:33:51.941] [ДРЕГ-ЭТАП 3] ID 146: проверка потока
[06:33:51.963] [ДРЕГ-ЭТАП 3] ID 147: проверка потока
[06:33:51.979] [ДРЕГ-ЭТАП 3] ID 148: проверка потока
[06:33:51.992] [ДРЕГ-ЭТАП 3] ID 149: проверка потока
[06:33:52.004] [ДРЕГ-ЭТАП 3] ID 150: проверка потока
[06:33:52.047] [ДРЕГ-ЭТАП 3] ID 151: проверка потока
[06:33:52.048] [ДРЕГ-ЭТАП 3] ID 152: проверка потока
[06:33:52.143] [ДРЕГ-ЭТАП 3] ID 153: проверка потока
[06:33:52.150] [ДРЕГ-ЭТАП 3] ID 154: проверка потока
[06:33:52.194] [ДРЕГ-ЭТАП 3] ID 155: проверка потока
[06:33:52.200] [ДРЕГ-ЭТАП 3] ID 156: проверка потока
[06:33:52.261] [ДРЕГ-ЭТАП 3] ID 157: проверка потока
[06:33:52.290] [ДРЕГ-ЭТАП 3] ID 158: проверка потока
[06:33:52.344] [ДРЕГ-ЭТАП 3] ID 159: проверка потока
[06:33:52.363] [ДРЕГ-ЭТАП 3] ID 160: проверка потока
[06:33:52.385] [ДРЕГ-ЭТАП 3] ID 161: проверка потока
[06:33:52.471] [ДРЕГ-ЭТАП 3] ID 162: проверка потока
[06:33:52.517] [ДРЕГ-ЭТАП 3] ID 163: проверка потока
[06:33:52.525] [ДРЕГ-ЭТАП 3] ID 164: проверка потока
[06:33:52.535] [ДРЕГ-ЭТАП 3] ID 165: проверка потока
[06:33:52.541] [ДРЕГ-ЭТАП 3] ID 166: проверка потока
[06:33:52.632] [ДРЕГ-ЭТАП 3] ID 167: проверка потока
[06:33:52.691] [ДРЕГ-ЭТАП 3] ID 168: проверка потока
[06:33:52.703] [ДРЕГ-ЭТАП 3] ID 169: проверка потока
[06:33:52.703] [ДРЕГ-ЭТАП 3] ID 170: проверка потока
[06:33:52.845] [ДРЕГ-ЭТАП 3] ID 171: проверка потока
[06:33:52.866] [ДРЕГ-ЭТАП 3] ID 172: проверка потока
[06:33:52.887] [ДРЕГ-ЭТАП 3] ID 173: проверка потока
[06:33:52.892] [ДРЕГ-ЭТАП 3] ID 174: проверка потока
[06:33:53.014] [ДРЕГ-ЭТАП 3] ID 175: проверка потока
[06:33:53.033] [ДРЕГ-ЭТАП 3] ID 176: проверка потока
[06:33:53.057] [ДРЕГ-ЭТАП 3] ID 177: проверка потока
[06:33:53.073] [ДРЕГ-ЭТАП 3] ID 178: проверка потока
[06:33:53.166] [ДРЕГ-ЭТАП 3] ID 179: проверка потока
[06:33:53.270] [ДРЕГ-ЭТАП 3] ID 180: проверка потока
[06:33:53.307] [ДРЕГ-ЭТАП 3] ID 181: проверка потока
[06:33:53.321] [ДРЕГ-ЭТАП 3] ID 182: проверка потока
[06:33:53.414] [ДРЕГ-ЭТАП 3] ID 183: проверка потока
[06:33:53.466] [ДРЕГ-ЭТАП 3] ID 184: проверка потока
[06:33:53.499] [ДРЕГ-ЭТАП 3] ID 185: проверка потока
[06:33:53.570] [ДРЕГ-ЭТАП 3] ID 186: проверка потока
[06:33:53.615] [ДРЕГ-ЭТАП 3] ID 187: проверка потока
[06:33:53.679] [ДРЕГ-ЭТАП 3] ID 188: проверка потока
[06:33:53.719] [ДРЕГ-ЭТАП 3] ID 189: проверка потока
[06:33:53.774] [ДРЕГ-ЭТАП 3] ID 190: проверка потока
[06:33:53.846] [ДРЕГ-ЭТАП 3] ID 191: проверка потока
[06:33:53.931] [ДРЕГ-ЭТАП 3] ID 192: проверка потока
[06:33:54.011] [ДРЕГ-ЭТАП 3] ID 193: проверка потока
[06:33:54.077] [ДРЕГ-ЭТАП 3] ID 194: проверка потока
[06:33:54.263] [ДРЕГ-ЭТАП 3] ID 195: проверка потока
[06:33:54.267] [ДРЕГ-ЭТАП 3] ID 196: проверка потока
[06:33:54.402] [ДРЕГ-ЭТАП 3] ID 197: проверка потока
[06:33:54.454] [ДРЕГ-ЭТАП 3] ID 198: проверка потока
[06:33:54.596] [ДРЕГ-ЭТАП 3] ID 199: проверка потока
[06:33:54.640] [ДРЕГ-ЭТАП 3] ID 200: проверка потока
[06:33:54.653] [ДРЕГ-ЭТАП 3] ID 201: проверка потока
[06:33:54.780] [ДРЕГ-ЭТАП 3] ID 202: проверка потока
[06:33:54.790] [ДРЕГ-ЭТАП 3] ID 203: проверка потока
[06:33:54.803] [ДРЕГ-ЭТАП 3] ID 204: проверка потока
[06:33:54.926] [ДРЕГ-ЭТАП 3] ID 205: проверка потока
[06:33:54.941] [ДРЕГ-ЭТАП 3] ID 206: проверка потока
[06:33:54.973] [ДРЕГ-ЭТАП 3] ID 207: проверка потока
[06:33:55.082] [ДРЕГ-ЭТАП 3] ID 208: проверка потока
[06:33:55.089] [ДРЕГ-ЭТАП 3] ID 209: проверка потока
[06:33:55.099] [ДРЕГ-ЭТАП 3] ID 210: проверка потока
[06:33:55.123] [ДРЕГ-ЭТАП 3] ID 211: проверка потока
[06:33:55.235] [ДРЕГ-ЭТАП 3] ID 212: проверка потока
[06:33:55.237] [ДРЕГ-ЭТАП 3] ID 213: проверка потока
[06:33:55.262] [ДРЕГ-ЭТАП 3] ID 214: проверка потока
[06:33:55.267] [ДРЕГ-ЭТАП 3] ID 215: проверка потока
[06:33:55.269] [ДРЕГ-ЭТАП 3] ID 216: проверка потока
[06:33:55.405] [ДРЕГ-ЭТАП 3] ID 217: проверка потока
[06:33:55.415] [ДРЕГ-ЭТАП 3] ID 218: проверка потока
[06:33:55.431] [ДРЕГ-ЭТАП 3] ID 219: проверка потока
[06:33:55.433] [ДРЕГ-ЭТАП 3] ID 220: проверка потока
[06:33:55.451] [ДРЕГ-ЭТАП 3] ID 221: проверка потока
[06:33:55.563] [ДРЕГ-ЭТАП 3] ID 222: проверка потока
[06:33:55.568] [ДРЕГ-ЭТАП 3] ID 223: проверка потока
[06:33:55.613] [ДРЕГ-ЭТАП 3] ID 224: проверка потока
[06:33:55.621] [ДРЕГ-ЭТАП 3] ID 225: проверка потока
[06:33:55.646] [ДРЕГ-ЭТАП 3] ID 226: проверка потока
[06:33:55.752] [ДРЕГ-ЭТАП 3] ID 227: проверка потока
[06:33:55.754] [ДРЕГ-ЭТАП 3] ID 228: проверка потока
[06:33:55.757] [ДРЕГ-ЭТАП 3] ID 229: проверка потока
[06:33:55.774] [ДРЕГ-ЭТАП 3] ID 230: проверка потока
[06:33:55.898] [ДРЕГ-ЭТАП 3] ID 231: проверка потока
[06:33:55.939] [ДРЕГ-ЭТАП 3] ID 232: проверка потока
[06:33:55.952] [ДРЕГ-ЭТАП 3] ID 233: проверка потока
[06:33:56.008] [ДРЕГ-ЭТАП 3] ID 234: проверка потока
[06:33:56.106] [ДРЕГ-ЭТАП 3] ID 235: проверка потока
[06:33:56.121] [ДРЕГ-ЭТАП 3] ID 236: проверка потока
[06:33:56.126] [ДРЕГ-ЭТАП 3] ID 237: проверка потока
[06:33:56.155] [ДРЕГ-ЭТАП 3] ID 238: проверка потока
[06:33:56.300] [ДРЕГ-ЭТАП 3] ID 239: проверка потока
[06:33:56.311] [ДРЕГ-ЭТАП 3] ID 240: проверка потока
[06:33:56.347] [ДРЕГ-ЭТАП 3] ID 241: проверка потока
[06:33:56.353] [ДРЕГ-ЭТАП 3] ID 242: проверка потока
[06:33:56.371] [ДРЕГ-ЭТАП 3] ID 243: проверка потока
[06:33:56.490] [ДРЕГ-ЭТАП 3] ID 244: проверка потока
[06:33:56.496] [ДРЕГ-ЭТАП 3] ID 245: проверка потока
[06:33:56.517] [ДРЕГ-ЭТАП 3] ID 246: проверка потока
[06:33:56.542] [ДРЕГ-ЭТАП 3] ID 247: проверка потока
[06:33:56.666] [ДРЕГ-ЭТАП 3] ID 248: проверка потока
[06:33:56.703] [ДРЕГ-ЭТАП 3] ID 249: проверка потока
[06:33:56.737] [ДРЕГ-ЭТАП 3] ID 250: проверка потока
[06:33:56.750] [ДРЕГ-ЭТАП 3] ID 251: проверка потока
[06:33:56.856] [ДРЕГ-ЭТАП 3] ID 252: проверка потока
[06:33:56.857] [ДРЕГ-ЭТАП 3] ID 253: проверка потока
[06:33:56.925] [ДРЕГ-ЭТАП 3] ID 254: проверка потока
[06:33:56.934] [ДРЕГ-ЭТАП 3] ID 255: проверка потока
[06:33:56.998] [ДРЕГ-ЭТАП 3] ID 256: проверка потока
[06:33:57.052] [ДРЕГ-ЭТАП 3] ID 257: проверка потока
