=== ЛОГ-ОТЧЕТ СКАЛА / ДРЕГ [2026-08-22_04-05-25] ===
[04:05:25.752] [ДРЕГ-ЭТАП 3] ID 74: проверка потока
[04:05:25.753] [ДРЕГ-ЭТАП 3] ID 75: проверка потока
[04:05:25.759] [ДРЕГ-ЭТАП 3] ID 76: проверка потока
[04:05:25.764] [ДРЕГ-ЭТАП 3] ID 77: проверка потока
[04:05:25.766] [ДРЕГ-ЭТАП 3] ID 78: проверка потока
[04:05:25.767] [ДРЕГ-ЭТАП 3] ID 79: проверка потока
[04:05:25.768] [ДРЕГ-ЭТАП 3] ID 80: проверка потока
[04:05:25.770] [ДРЕГ-ЭТАП 3] ID 81: проверка потока
[04:05:25.773] [ДРЕГ-ЭТАП 3] ID 82: проверка потока
[04:05:25.782] [ДРЕГ-ЭТАП 3] ID 83: проверка потока
[04:05:25.786] [ДРЕГ-ЭТАП 3] ID 84: проверка потока
[04:05:25.790] [ДРЕГ-ЭТАП 3] ID 85: проверка потока
[04:05:25.791] [ДРЕГ-ЭТАП 3] ID 86: проверка потока
[04:05:25.802] [ДРЕГ-ЭТАП 3] ID 87: проверка потока
[04:05:25.804] [ДРЕГ-ЭТАП 3] ID 88: проверка потока
[04:05:25.808] [ДРЕГ-ЭТАП 3] ID 89: проверка потока
[04:05:25.809] [ДРЕГ-ЭТАП 3] ID 90: проверка потока
[04:05:25.810] [ДРЕГ-ЭТАП 3] ID 91: проверка потока
[04:05:25.812] [ДРЕГ-ЭТАП 3] ID 92: проверка потока
[04:05:25.814] [ДРЕГ-ЭТАП 3] ID 93: проверка потока
[04:05:25.817] [ДРЕГ-ЭТАП 3] ID 94: проверка потока
[04:05:25.818] [ДРЕГ-ЭТАП 3] ID 95: проверка потока
[04:05:25.826] [ДРЕГ-ЭТАП 3] ID 96: проверка потока
[04:05:25.826] [ДРЕГ-ЭТАП 3] ID 97: проверка потока
[04:05:25.833] [ДРЕГ-ЭТАП 3] ID 98: проверка потока
[04:05:25.841] [ДРЕГ-ЭТАП 3] ID 99: проверка потока
[04:05:25.845] [ДРЕГ-ЭТАП 3] ID 100: проверка потока
[04:05:25.850] [ДРЕГ-ЭТАП 3] ID 101: проверка потока
[04:05:25.852] [ДРЕГ-ЭТАП 3] ID 102: проверка потока
[04:05:25.854] [ДРЕГ-ЭТАП 3] ID 103: проверка потока
[04:05:25.854] [ДРЕГ-ЭТАП 3] ID 104: проверка потока
[04:05:25.855] [ДРЕГ-ЭТАП 3] ID 105: проверка потока
[04:05:25.862] [ДРЕГ-ЭТАП 3] ID 106: проверка потока
[04:05:25.865] [ДРЕГ-ЭТАП 3] ID 107: проверка потока
[04:05:25.872] [ДРЕГ-ЭТАП 3] ID 108: проверка потока
[04:05:25.877] [ДРЕГ-ЭТАП 3] ID 109: проверка потока
[04:05:25.890] [ДРЕГ-ЭТАП 3] ID 110: проверка потока
[04:05:25.891] [ДРЕГ-ЭТАП 3] ID 111: проверка потока
[04:05:25.898] [ДРЕГ-ЭТАП 3] ID 112: проверка потока
[04:05:25.898] [ДРЕГ-ЭТАП 3] ID 113: проверка потока
[04:05:25.905] [ДРЕГ-ЭТАП 3] ID 114: проверка потока
[04:05:25.906] [ДРЕГ-ЭТАП 3] ID 115: проверка потока
[04:05:25.908] [ДРЕГ-ЭТАП 3] ID 116: проверка потока
[04:05:25.910] [ДРЕГ-ЭТАП 3] ID 117: проверка потока
[04:05:25.912] [ДРЕГ-ЭТАП 3] ID 118: проверка потока
[04:05:25.915] [ДРЕГ-ЭТАП 3] ID 119: проверка потока
[04:05:25.921] [ДРЕГ-ЭТАП 3] ID 120: проверка потока
[04:05:25.931] [ДРЕГ-ЭТАП 3] ID 121: проверка потока
[04:05:25.936] [ДРЕГ-ЭТАП 3] ID 122: проверка потока
[04:05:25.943] [ДРЕГ-ЭТАП 3] ID 123: проверка потока
[04:05:25.944] [ДРЕГ-ЭТАП 3] ID 124: проверка потока
[04:05:25.947] [ДРЕГ-ЭТАП 3] ID 125: проверка потока
[04:05:25.950] [ДРЕГ-ЭТАП 3] ID 126: проверка потока
[04:05:25.959] [ДРЕГ-ЭТАП 3] ID 127: проверка потока
[04:05:25.961] [ДРЕГ-ЭТАП 3] ID 128: проверка потока
[04:05:25.961] [ДРЕГ-ЭТАП 3] ID 129: проверка потока
[04:05:25.966] [ДРЕГ-ЭТАП 3] ID 130: проверка потока
[04:05:25.973] [ДРЕГ-ЭТАП 3] ID 131: проверка потока
[04:05:25.973] [ДРЕГ-ЭТАП 3] ID 132: проверка потока
[04:05:25.974] [ДРЕГ-ЭТАП 3] ID 133: проверка потока
[04:05:25.984] [ДРЕГ-ЭТАП 3] ID 134: проверка потока
[04:05:25.992] [ДРЕГ-ЭТАП 3] ID 135: проверка потока
[04:05:25.998] [ДРЕГ-ЭТАП 3] ID 136: проверка потока
[04:05:26.001] [ДРЕГ-ЭТАП 3] ID 137: проверка потока
[04:05:26.004] [ДРЕГ-ЭТАП 3] ID 138: проверка потока
[04:05:26.006] [ДРЕГ-ЭТАП 3] ID 139: проверка потока
[04:05:26.008] [ДРЕГ-ЭТАП 3] ID 140: проверка потока
[04:05:26.012] [ДРЕГ-ЭТАП 3] ID 141: проверка потока
[04:05:26.021] [ДРЕГ-ЭТАП 3] ID 142: проверка потока
[04:05:26.025] [ДРЕГ-ЭТАП 3] ID 143: проверка потока
[04:05:26.028] [ДРЕГ-ЭТАП 3] ID 144: проверка потока
[04:05:26.031] [ДРЕГ-ЭТАП 3] ID 145: проверка потока
[04:05:26.031] [ДРЕГ-ЭТАП 3] ID 146: проверка потока
[04:05:26.034] [ДРЕГ-ЭТАП 3] ID 147: проверка потока
[04:05:26.042] [ДРЕГ-ЭТАП 3] ID 148: проверка потока
[04:05:26.049] [ДРЕГ-ЭТАП 3] ID 149: проверка потока
[04:05:26.053] [ДРЕГ-ЭТАП 3] ID 150: проверка потока
[04:05:26.055] [ДРЕГ-ЭТАП 3] ID 151: проверка потока
[04:05:26.057] [ДРЕГ-ЭТАП 3] ID 152: проверка потока
[04:05:26.061] [ДРЕГ-ЭТАП 3] ID 153: проверка потока
[04:05:26.062] [ДРЕГ-ЭТАП 3] ID 154: проверка потока
[04:05:26.067] [ДРЕГ-ЭТАП 3] ID 155: проверка потока
[04:05:26.075] [ДРЕГ-ЭТАП 3] ID 156: проверка потока
[04:05:26.075] [ДРЕГ-ЭТАП 3] ID 157: проверка потока
[04:05:26.081] [ДРЕГ-ЭТАП 3] ID 158: проверка потока
[04:05:26.084] [ДРЕГ-ЭТАП 3] ID 159: проверка потока
[04:05:26.087] [ДРЕГ-ЭТАП 3] ID 160: проверка потока
[04:05:26.095] [ДРЕГ-ЭТАП 3] ID 161: проверка потока
[04:05:26.101] [ДРЕГ-ЭТАП 3] ID 162: проверка потока
[04:05:26.104] [ДРЕГ-ЭТАП 3] ID 163: проверка потока
[04:05:26.106] [ДРЕГ-ЭТАП 3] ID 164: проверка потока
[04:05:26.109] [ДРЕГ-ЭТАП 3] ID 165: проверка потока
[04:05:26.110] [ДРЕГ-ЭТАП 3] ID 166: проверка потока
[04:05:26.112] [ДРЕГ-ЭТАП 3] ID 167: проверка потока
[04:05:26.115] [ДРЕГ-ЭТАП 3] ID 168: проверка потока
[04:05:26.118] [ДРЕГ-ЭТАП 3] ID 169: проверка потока
[04:05:26.122] [ДРЕГ-ЭТАП 3] ID 170: проверка потока
[04:05:26.131] [ДРЕГ-ЭТАП 3] ID 171: проверка потока
[04:05:26.133] [ДРЕГ-ЭТАП 3] ID 172: проверка потока
[04:05:26.136] [ДРЕГ-ЭТАП 3] ID 173: проверка потока
[04:05:26.139] [ДРЕГ-ЭТАП 3] ID 174: проверка потока
[04:05:26.144] [ДРЕГ-ЭТАП 3] ID 175: проверка потока
[04:05:26.148] [ДРЕГ-ЭТАП 3] ID 176: проверка потока
[04:05:26.149] [ДРЕГ-ЭТАП 3] ID 177: проверка потока
[04:05:26.151] [ДРЕГ-ЭТАП 3] ID 178: проверка потока
[04:05:26.153] [ДРЕГ-ЭТАП 3] ID 179: проверка потока
[04:05:26.154] [ДРЕГ-ЭТАП 3] ID 180: проверка потока
[04:05:26.163] [ДРЕГ-ЭТАП 3] ID 181: проверка потока
[04:05:26.166] [ДРЕГ-ЭТАП 3] ID 182: проверка потока
[04:05:26.168] [ДРЕГ-ЭТАП 3] ID 183: проверка потока
[04:05:26.173] [ДРЕГ-ЭТАП 3] ID 184: проверка потока
[04:05:26.175] [ДРЕГ-ЭТАП 3] ID 185: проверка потока
[04:05:26.175] [ДРЕГ-ЭТАП 3] ID 186: проверка потока
[04:05:26.181] [ДРЕГ-ЭТАП 3] ID 187: проверка потока
[04:05:26.187] [ДРЕГ-ЭТАП 3] ID 188: проверка потока
[04:05:26.188] [ДРЕГ-ЭТАП 3] ID 189: проверка потока
[04:05:26.201] [ДРЕГ-ЭТАП 3] ID 190: проверка потока
[04:05:26.204] [ДРЕГ-ЭТАП 3] ID 191: проверка потока
[04:05:26.206] [ДРЕГ-ЭТАП 3] ID 192: проверка потока
[04:05:26.206] [ДРЕГ-ЭТАП 3] ID 193: проверка потока
[04:05:26.208] [ДРЕГ-ЭТАП 3] ID 194: проверка потока
[04:05:26.212] [ДРЕГ-ЭТАП 3] ID 195: проверка потока
[04:05:26.222] [ДРЕГ-ЭТАП 3] ID 196: проверка потока
[04:05:26.225] [ДРЕГ-ЭТАП 3] ID 197: проверка потока
[04:05:26.226] [ДРЕГ-ЭТАП 3] ID 198: проверка потока
[04:05:26.232] [ДРЕГ-ЭТАП 3] ID 199: проверка потока
[04:05:26.234] [ДРЕГ-ЭТАП 3] ID 200: проверка потока
[04:05:26.239] [ДРЕГ-ЭТАП 3] ID 201: проверка потока
[04:05:26.244] [ДРЕГ-ЭТАП 3] ID 202: проверка потока
[04:05:26.248] [ДРЕГ-ЭТАП 3] ID 203: проверка потока
[04:05:26.249] [ДРЕГ-ЭТАП 3] ID 204: проверка потока
[04:05:26.252] [ДРЕГ-ЭТАП 3] ID 205: проверка потока
[04:05:26.256] [ДРЕГ-ЭТАП 3] ID 206: проверка потока
[04:05:26.265] [ДРЕГ-ЭТАП 3] ID 207: проверка потока
[04:05:26.268] [ДРЕГ-ЭТАП 3] ID 208: проверка потока
[04:05:26.273] [ДРЕГ-ЭТАП 3] ID 209: проверка потока
[04:05:26.275] [ДРЕГ-ЭТАП 3] ID 210: проверка потока
[04:05:26.276] [ДРЕГ-ЭТАП 3] ID 211: проверка потока
[04:05:26.281] [ДРЕГ-ЭТАП 3] ID 212: проверка потока
[04:05:26.282] [ДРЕГ-ЭТАП 3] ID 213: проверка потока
[04:05:26.293] [ДРЕГ-ЭТАП 3] ID 214: проверка потока
[04:05:26.294] [ДРЕГ-ЭТАП 3] ID 215: проверка потока
[04:05:26.297] [ДРЕГ-ЭТАП 3] ID 216: проверка потока
[04:05:26.297] [ДРЕГ-ЭТАП 3] ID 217: проверка потока
[04:05:26.299] [ДРЕГ-ЭТАП 3] ID 218: проверка потока
[04:05:26.311] [ДРЕГ-ЭТАП 3] ID 219: проверка потока
[04:05:26.312] [ДРЕГ-ЭТАП 3] ID 220: проверка потока
[04:05:26.314] [ДРЕГ-ЭТАП 3] ID 221: проверка потока
[04:05:26.317] [ДРЕГ-ЭТАП 3] ID 222: проверка потока
[04:05:26.318] [ДРЕГ-ЭТАП 3] ID 223: проверка потока
[04:05:26.322] [ДРЕГ-ЭТАП 3] ID 224: проверка потока
[04:05:26.325] [ДРЕГ-ЭТАП 3] ID 225: проверка потока
[04:05:26.327] [ДРЕГ-ЭТАП 3] ID 226: проверка потока
[04:05:26.330] [ДРЕГ-ЭТАП 3] ID 227: проверка потока
[04:05:26.334] [ДРЕГ-ЭТАП 3] ID 228: проверка потока
[04:05:26.338] [ДРЕГ-ЭТАП 3] ID 229: проверка потока
[04:05:26.345] [ДРЕГ-ЭТАП 3] ID 230: проверка потока
[04:05:26.349] [ДРЕГ-ЭТАП 3] ID 231: проверка потока
[04:05:26.350] [ДРЕГ-ЭТАП 3] ID 232: проверка потока
[04:05:26.358] [ДРЕГ-ЭТАП 3] ID 233: проверка потока
[04:05:26.363] [ДРЕГ-ЭТАП 3] ID 234: проверка потока
[04:05:26.369] [ДРЕГ-ЭТАП 3] ID 235: проверка потока
[04:05:26.370] [ДРЕГ-ЭТАП 3] ID 236: проверка потока
[04:05:26.372] [ДРЕГ-ЭТАП 3] ID 237: проверка потока
[04:05:26.372] [ДРЕГ-ЭТАП 3] ID 238: проверка потока
[04:05:26.373] [ДРЕГ-ЭТАП 3] ID 239: проверка потока
[04:05:26.373] [ДРЕГ-ЭТАП 3] ID 240: проверка потока
[04:05:26.380] [ДРЕГ-ЭТАП 3] ID 241: проверка потока
[04:05:26.387] [ДРЕГ-ЭТАП 3] ID 242: проверка потока
[04:05:26.388] [ДРЕГ-ЭТАП 3] ID 243: проверка потока
[04:05:26.389] [ДРЕГ-ЭТАП 3] ID 244: проверка потока
[04:05:26.403] [ДРЕГ-ЭТАП 3] ID 245: проверка потока
[04:05:26.405] [ДРЕГ-ЭТАП 3] ID 246: проверка потока
[04:05:26.408] [ДРЕГ-ЭТАП 3] ID 247: проверка потока
[04:05:26.409] [ДРЕГ-ЭТАП 3] ID 248: проверка потока
[04:05:26.410] [ДРЕГ-ЭТАП 3] ID 249: проверка потока
[04:05:26.412] [ДРЕГ-ЭТАП 3] ID 250: проверка потока
[04:05:26.415] [ДРЕГ-ЭТАП 3] ID 251: проверка потока
[04:05:26.416] [ДРЕГ-ЭТАП 3] ID 252: проверка потока
[04:05:26.423] [ДРЕГ-ЭТАП 3] ID 253: проверка потока
[04:05:26.437] [ДРЕГ-ЭТАП 3] ID 254: проверка потока
